Industry,MCC,MCC Title,MCC Description,Included in MCC,Connect/ISV Sub-Merchants,Pay/ISO/Direct Merchants,AML Risk Rating,Loss Risk Rating,Add'l Requirements,CNP Delayed Delivery,CP/ACH Delayed Delivery
miscellaneous stores & services,5998,tent and awning shops,"merchants classified with this mcc sell tents and awnings for home or business use, and may also provide repair services.","awnings – residential, commercial",,restricted/high risk,3,2,,5,1
miscellaneous stores & services,5999,miscellaneous and specialty retail stores,merchants classified with this mcc sell unique or specialized products that are not classified with a more specific mcc.,"ammunition stores
atlas, map stores
beauty supply stores
bottled and distilled
 water dealers
collectibles,
 memorabilia stores-
 sports and hobby
 dealers – ice
firearms, ammunition
 stores
fireworks stores
frame shops –
 photograph, poster
gravestones,
 monuments – sales,
 installation
headstones, monuments
ice dealers
magic shops
map, atlas stores
monuments,
 gravestones – sales,
 installation
party supply stores
picture frames, framing
 shops
specialty retail stores –
 miscellaneous
sunglasses stores
supplies – beauty supply
 stores
supplies – party
tombstones – sales,
 installation
trophy sales",restricted/high risk,restricted/high risk,3,3,,5,1
"financial institutions & services, securities, and insurance",6010,member financial institution–manual cash disbursements,this mcc must be used for face-to-face cash disbursements.,"banks – financial institutions – manual cash disbursements cash – banks, credit unions, financial institutions credit unions – financial institutions – manual cash disbursements deposits – financial institutions manual cash disbursements savings and loans – financial institutions – manual cash disbursements travelers cheques (financial institutions) cashbanks – financial
 institutions – manual
 cash disbursements
cash – banks, credit
 unions, financial
 institutions
credit unions – financial
 institutions – manual
 cash disbursements
deposits – financial
institutions
manual cash
 disbursements
savings and loans –
 financial institutions –
 manual cash
disbursements
travelers cheques
 (financial institutions)
 cash",prohibited,prohibited,5,3,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",3,3
"financial institutions & services, securities, and insurance",6011,member financial institution–automated cash disbursements,"this mcc must be used only for cash disbursements at automated teller machines (atms) owned, leased, controlled, or sponsored by banks, savings and loans, thrifts, and credit unions.",atm cash – disbursements cash - atm,prohibited,prohibited,5,3,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",3,3
"financial institutions & services, securities, and insurance",6012,member financial institution–merchandise and services,"this mcc must be used by financial institutions for the purchase of merchandise or services or the repayment of loans & debts. “financial institution” includes banks, savings and loans, thrifts, and credit unions. for example: the purchase of checks, other financial products, or promotional merchandise, deposits, the funding of an account, the purchase or reload of a stored value card, the purchase of foreign currency, non-fiat currency (for example: cryptocurrency), money orders (a negotiable paper based remittance – not a money transfer), travelers cheques, and loan fees or financial counseling service fees. this mcc must also be used for the repayment of a debt, loan, or credit card balance by a cardholder to the financial institution.","account funding –
financial institution
banks – financial
institutions –
merchandise, services
credit unions – financial
institutions –
merchandise, services
deposits – financial
institutions
merchandise, services –
financial institutions
mortgage companies –
financial institutions
purchase of foreign
currency, non-fiat
currency (for example,
cryptocurrency), money
orders (not money
transfer) and travelers
cheques – financial
institution
loan payments –
financial institution
savings and loans –
financial institutions –
merchandise, services
services – banks, credit
unions, financial
institutions (non-cash)
stored value card",prohibited,prohibited,5,3,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",3,3
"financial institutions & services, securities, and insurance",6051,quasi cash–merchant,"this mcc must be used for the funding of an account (excluding prepaid card loads), the purchase of foreign currency, non-fiat currency (for example: cryptocurrency), money orders, or travelers cheques that occurs at non-financial institutions such as currency exchanges or money order (a negotiable paper based remittance – not a money transfer) merchants.","account funding –
 (non-financial institutions)
currency – non-fiat (for
 example: cryptocurrency)
currency – foreign (nonfinancial institutions)
exchange – foreign
 currency (non-financial
 institutions)
foreign currency (non-
 financial institutions)
lease payments
loan payments
money – foreign currency
 (non-financial institutions)
money orders – not money
 transfer (non-financial
 institutions)
mortgage companies
 – (non-financial
 institutions)
services – money order,
travelers cheques,
foreign exchange (nonfinancial institutions)
travelers cheques
 (financial institutions)
 travelers cheques
 (non-financial institutions)",prohibited,prohibited,5,3,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",3,3
"financial institutions & services, securities, and insurance",6211,securities–brokers and dealers,"merchants classified with this mcc are licensed, in all jurisdictions they sell into to buy, sell and broker securities, stocks, bonds, commodities, and mutual funds. ","bond dealers
brokers – securities,
mutual funds, stocks,
 commodities, bonds
commodity dealers
dealers – securities,
 mutual funds, stocks,
 commodities, bonds
foreign currency purchase
licensed foreign exchange
 trading
binary options
investment firms –
 dealers, brokers
mutual funds brokers
stock brokers",prohibited,prohibited,5,4,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",3,3
"financial institutions & services, securities, and insurance",6300,"insurance sales, underwriting and premiums","merchants classified with this mcc sell personal or business insurance policies such as automobile, life, health, hospital, medical, and dental insurance, homeowners’ and renters’ insurance, real estate title insurance, pet health insurance and flood, fire, or earthquake insurance.","automobile insurance –
 sales (non-direct
 marketing)
health insurance – sales
homeowners insurance –
 sales
life insurance – sales
medical insurance – sales
product warranties ",prohibited,prohibited,4,3,,15,2
"financial institutions & services, securities, and insurance",6381,insurance–premiums,,,prohibited,,4,3,,15,2
business & professional services,6513,real estate agents and managers–rentals,"this mcc must be used for the payment of management fees, rental commissions, rental payments, and other payments at real estate agents, brokers, and managers engaged in the rental and management of residential and commercial properties. this mcc should also be used for payments of deposits for real estate purchases short term rentals (of less than one month) must be included in mcc 7011 lodging – hotels, motels, resorts, central reservation services (not elsewhere classified) or, if appropriate, the merchant’s mcc. this mcc does not include mortgage loan payments and real estate purchases. these transactions must be identified with a more appropriate mcc such as mcc 6012 financial institutions – merchandise and services; mcc 1520 general contractors; mcc 8111 legal services and attorneys.","apartment rentals
commercial property
rentals
homeowner/condo
association fees/dues
housing rentals
property rentals
real estate agents
brokers, managers –
 rentals
rental services –
 residential and
commercial properties
residential rentals
service – residential and
 commercial properties
 rentals",restricted/high risk,,4,3,,15,15
"financial institutions & services, securities, and insurance",6529,remote stored value load — member financial institution,this mcc must be used by merchants whose primary business is the sale of and/or any subsequent reloads of stored value cards/accounts (including visa prepaid cards) occurring at non-financial institutions. this mcc is not applicable for use with staged digital wallet operators (sdwo).,"account funding – (non-
 financial institutions)
stored value card/load
 (non-financial institutions)
stored value wallet/load
 (non-financial institutions)",,,5,4,,60,60
"financial institutions & services, securities, and insurance",6530,remote stored value load — merchant,,,,,5,3,,30,30
"financial institutions & services, securities, and insurance",6535,value purchase–member financial institution,,,,,5,3,,30,30
"financial institutions & services, securities, and insurance",6536,moneysend intracountry,,,,,5,2,,1,1
"financial institutions & services, securities, and insurance",6537,moneysend intercountry,,,,,5,2,,3,3
"financial institutions & services, securities, and insurance",6538,moneysend funding,,,,,5,2,,1,1
"financial institutions & services, securities, and insurance",6539,funding transaction (excluding moneysend),,,,,5,2,,5,5
"financial institutions & services, securities, and insurance",6540,poi (point of interaction) funding transactions (excluding moneysend),this mcc must be used by merchants whose primary business is the sale of and/or any subsequent reloads of stored value cards/accounts (including visa prepaid cards) occurring at non-financial institutions. this mcc is not applicable for use with staged digital wallet operators (sdwo).,"account funding – (non-
 financial institutions)
stored value card/load
 (non-financial institutions)
stored value wallet/load
 (non-financial institutions)",prohibited,prohibited,5,3,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",15,15
"financial institutions & services, securities, and insurance",6611,overpayments,,,,,5,2,,5,5
"financial institutions & services, securities, and insurance",6760,savings bonds,,,,,5,2,,5,5
business & professional services,7011,"lodging–hotels, motels, resorts–not elsewhere classified","merchants classified with this mcc are lodging establishments or central reservation services that do not have their own specific mcc. mcc 7011 may include, bed and breakfast establishments, resorts, cabins, cottages, hostels, short-term property rentals less than 30 days in length, and local inns.","bed & breakfast
 establishments
central reservation
 services
hotels (not listed in
 t&e section)
inns (not listed in
 t&e section)
lodging establishments
 (not listed in t&e
 section)
motels (not listed in
 t&e section)
resorts (not listed in
 t&e section)
services – central
 reservation, lodging",,restricted/high risk,4,5,,90,1
business & professional services,7012,timeshares,"merchants classified with this mcc sell, lease, and rent timeshares and arrange timeshare condominium exchanges.",,prohibited,prohibited,6,6,,90,2
entertainment services,7032,sporting and recreational camps,"merchants classified with this mcc operate children’s camps, recreational camps, and sporting camps.","boys’ camps
camps – boys’, girls’
camps – sporting,
 recreational
children’s camps
girls’ camps
recreational, sporting
 camps
nudist camps
dude ranches",restricted/high risk,restricted/high risk,3,5,,90,2
business & professional services,7033,campgrounds and trailer parks,"merchants classified with this mcc provide overnight or short-term camp sites for recreational vehicles, trailers, campers, or tents.",,,,3,4,,15,2
miscellaneous stores & services,7210,"cleaning, garment and laundry services",merchants classified with this mcc operate steam or other types of laundries or laundry services.,"diaper services
garment services
services – laundry,
 cleaning, garment
 services",,,1,1,,5,1
miscellaneous stores & services,7211,laundry services–family and commercial,merchants classified with this mcc provide coinoperated or similar self-service washers and dryers for general consumer use and may also offer laundry services.,laundromats,prohibited,,1,1,,5,1
miscellaneous stores & services,7216,dry cleaners,merchants classified with this mcc perform dry cleaning services for individuals or businesses and may offer limited alteration services.,services – dry cleaning,,,1,1,,5,1
miscellaneous stores & services,7217,carpet and upholstery cleaning,"merchants classified with this mcc clean carpets, drapes, and upholstery.",drapery cleaning,prohibited,,1,2,,8,1
miscellaneous stores & services,7221,photographic studios,merchants classified with this mcc perform still or video portrait photography for the general public.,"photographers – wedding
 portrait studios
wedding photographers",,,1,3,,15,1
business & professional services,7230,barber and beauty shops,"merchants classified with this mcc provide personal hair care services such as hair cutting, styling, and coloring, and may also perform manicures and pedicures and sell a limited selection of hair care products.","beauty salons
fingernail salons
hair cutting
hair salon
hair styling
hairdressers
make-up studios
manicurists
nail salons
salons – hair, beauty
salons – nail",,,1,2,,15,1
miscellaneous stores & services,7251,"hat cleaning shops, shoe repair shops, shoe shine parlors",merchants classified with this mcc repair footwear and provide shoe and hat cleaning and maintenance services.,"hat cleaning shops
shoe shine shops, stands
repairs – shoe repair shops",prohibited,,3,2,,30,10
business & professional services,7261,funeral service and crematories,"merchants classified with this mcc are mortuaries, crematories, and funeral homes that provide burial preparation services, conduct funerals, and provide cremation services.","mortuaries
morticians
undertakers",,,3,2,,10,2
business & professional services,7273,dating services,"merchants classified with this mcc provide dating and escort services, including online services.","escort services
services – dating, escort
 online dating services",prohibited,prohibited,6,6,,15,1
business & professional services,7276,tax preparation service,"merchants classified with this mcc provide income tax return preparation services but do not provide auditing, accounting, or bookkeeping services.",services – tax preparation,,,3,3,,7,2
business & professional services,7277,"debt, marriage, personal–counseling services","merchants classified with this mcc provide a variety of personal counseling services, such as debt and financial counseling, marriage counseling, family counseling, and alcohol and drug abuse counseling.","alcohol, drug abuse
 counseling
credit counseling
debt counseling
drug, alcohol abuse
 counseling
family counseling
financial counseling
 service
marriage counseling
personal counseling
services – counseling –
 debt, marriage, personal
services – financial
 counseling",prohibited,,3,3,contractors license required in some cases,14,1
"charitable & social clubs, membership organizations",7278,"buying/shopping clubs, services",merchants classified with this mcc act as an intermediary to facilitate buying and shopping for individuals or businesses on a fee basis.,"personal shopper
 services –
 buying/shopping
 services, clubs
shopping services",prohibited,prohibited,3,4,,30,2
"doctors, dentists, hospitals & related services",7280,hospital patient-personal funds withdrawal,,,,,5,2,,1,1
"schools, colleges, & child care services",7295,babysitting services,,,,,3,2,,15,2
clothing and accessories stores,7296,"clothing rental–costumes, uniforms and formal wear","merchants classified with this mcc rent costumes, uniforms, formal wear, and other types of apparel and related accessories.","apparel – clothing rental
 – costumes, formal
wear, uniforms
costume rental
formal wear rental
rentals – clothing –
 costumes, formal wear,
 uniforms
rentals – costume
rentals – tuxedo, formal
 wear
rentals – uniforms
tuxedo, formal wear
 rentals
uniforms rental",prohibited,,3,2,,7,1
business & professional services,7297,massage parlors,"merchants classified with this mcc specialize in providing therapeutic massage services, and may also provide other personal services such as spa treatments and rent saunas or hot tubs for customer use.",,prohibited,prohibited,3,4,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",10,1
business & professional services,7298,health and beauty spas,"merchants classified with this mcc provide a variety of personal or therapeutic services such as facials, massages, mud baths, herbal wraps, tanning treatments, whirlpools, steam baths, and hair and makeup styling, and instructional classes.",tanning salons,restricted/high risk,restricted/high risk,3,3,,10,2
business & professional services,7299,other services–not elsewhere classified,merchants classified with this mcc provide personal services that are not classified with a more specific mcc.,"animal boarding services
animal breeders
animal grooming services
animal training
apartment rental services
boarding services – animal
body piercing, tattoo
 parlors
breeders – animals
dog grooming services
dog training
horse boarding services
housing – rental services
kennels – animal
pet grooming services
services – animal boarding
services – miscellaneous
 other services –
miscellaneous
 personal services – pet
 grooming
services – water filtration,
 purification,
 softening treatments
stables – animal
tattoo, body piercing
 parlors
taxidermists
wedding chapels /
 planning",prohibited,restricted/high risk,3,3,,10,2
business & professional services,7311,advertising services,"merchants classified with this mcc prepare advertising (writing copy, artwork, graphics, and other creative work) and place such advertising and/or samples in periodicals, newspapers, radio and television, on the internet, in the sky, or other advertising media for clients on a contract or fee basis.","ad agencies
agencies – advertising
classified ads –
 newspaper
services – advertising",restricted/high risk,restricted/high risk,3,2,,8,2
business & professional services,7321,consumer credit reporting agencies,"merchants classified with this mcc provide consumer credit reporting services such as credit investigation, credit clearinghouses, and other related services.",,prohibited,prohibited,5,3,,15,1
business & professional services,7332,blueprinting and photocopying services,,,,restricted/high risk,1,1,,7,1
business & professional services,7333,"commercial art, graphics, photography","merchants classified with this mcc provide commercial art or graphic design services for advertising agencies, publishers, and other businesses.","commercial artists
film production
graphics – commercial
silk screening",restricted/high risk,restricted/high risk,1,2,,10,2
business & professional services,7338,"quick copy, reproduction and blueprinting services","merchants classified with this mcc reproduce and bind text, drawings, plans, maps, or other copy, by blueprinting, photocopying, or other methods of duplication.","photocopying services
reproduction services
services – quick copy,
 reproduction",prohibited,restricted/high risk,1,2,,3,2
business & professional services,7339,stenographic and secretarial support services,"merchants classified with this mcc provide a range of stenographic and secretarial services such as word processing, typing, editing, letter writing, proofreading, resume writing, and court reporting services.","services – word
 processing
word processing services",prohibited,restricted/high risk,1,1,,10,4
business & professional services,7342,exterminating and disinfecting services,"merchants classified with this mcc provide pest control, extermination, fumigation, and disinfection services.","exterminators
pest control",prohibited,,1,2,,8,2
business & professional services,7349,"cleaning and maintenance, janitorial services",merchants classified with this mcc provide cleaning and maintenance services.,"house cleaning services
housekeeping services
maintenance services
services – housekeeping",,,1,2,,15,2
business & professional services,7361,employment agencies and temporary help services,merchants classified with this mcc provide employment services for those seeing employees or employment.,"temporary employment
 agencies",restricted/high risk,prohibited,3,2,,15,2
"digital goods, computer & technology services & sales",7372,"computer programming, data processing and integrated system design services","merchants classified with this mcc provide computer programming services, systems design, website design, data entry, and data processing services.","computer software design
systems design –
 computer",restricted/high risk,restricted/high risk,3,3,,14,2
"digital goods, computer & technology services & sales",7375,information retrieval services,merchants classified with this mcc are business-tobusiness or wholesale provisioners of online or database information retrieval services.,,prohibited,restricted/high risk,3,1,,7,1
"digital goods, computer & technology services & sales",7379,"computer maintenance, repair and services–not elsewhere classified","merchants classified with this mcc provide computerrelated services such as computer consulting, database development, computer maintenance and repair, conversion services, and computer requirements analysis.",,restricted/high risk,restricted/high risk,3,4,,15,1
business & professional services,7392,"consulting, management and public relations services","merchants classified with this mcc perform a variety of activities for private, nonprofit, and public organizations, such as strategic and organizational planning, financial planning and budgeting, developing marketing objectives, information systems planning, development of human resource policies, and public relations services. ","consultants – management
consultants – marketing
consultants – public
 relations
consulting, management
 services
management consultants
marketing consultants
public relations services
services – management,
 consulting, public
relations",prohibited,restricted/high risk,4,5,credit stability documentation and 3 months of pps + bank statements required,15,2
business & professional services,7393,"detective agencies, protective agencies, security services including armored cars, guard dogs","merchants classified with this mcc provide security devices/systems and services such as security guard, protective, and armored car services and investigative services.","alarm systems, services
armored cars
burglar alarm companies
 – home/business
 security
fire alarm companies –
 home/business security
 guard dogs
home security systems
private investigators
protective services
security services,
protective services,
detective agencies
security systems
services – armored car
services – detective
 agencies
services – guard dog
services – protective
services – security
surveillance systems,
 services",restricted/high risk,restricted/high risk,3,3,,15,2
business & professional services,7394,"equipment rental and leasing services, furniture rental, tool rental","merchants classified with this mcc rent and lease equipment, tools, furniture, appliances, and office equipment, excluding typewriters.","appliance rental
furniture rental
leasing services –
 equipment
rentals – appliance
rentals – equipment
rentals – furniture
rentals – tools
services – equipment
 rental, leasing",restricted/high risk,restricted/high risk,1,3,,15,2
business & professional services,7395,"photo developing, photofinishing laboratories","merchants classified with this mcc develop film, make photographic prints and enlargements, and provide custom services, and may also sell a limited selection of photographic supplies and accessories.",film developing,prohibited,,1,2,,7,1
business & professional services,7399,business services not elsewhere classified,merchants classified with this mcc provide business services that are not typically considered to be “professions” and are not classified with a more specific mcc.,"answering services –
 telephone
conference management
 services
convention bureaus
keys – locksmith
language, translation
 services
locksmith
mail, packing stores,
 services
meeting planning services
message, paging services
packing, mailing services
paging, message service
 centers
postal services – non-
 government
publishing companies
seminar planning services
services – telephone
 answering
services – trade show
 arrangement
services – translation,
 language
telephone answering
 services
tourist information bureaus
trade show arrangement
 services
translation services
video-conferencing
 services",restricted/high risk,restricted/high risk,3,2,,7,2
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7512,automobile rental agency–not elsewhere classified,"merchants classified with this mcc are car rental
agencies that do not have designated unique mccs. this also includes car-sharing schemes (known as “car-clubs” in the uk)",car rentals,prohibited,,3,3,,10,2
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7513,truck rental,"merchants classified with this mcc provide short-term rental or long-term leasing of trucks, vans, or utility trailers.","leasing services – trucks,
 utility trailers",prohibited,,3,3,,15,2
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7519,motor home and recreational vehicle rental,"merchants classified with this mcc rent motor homes, rvs, campers, tent trailers, and other recreational vehicles on daily, short-term, or extended-term basis.",,prohibited,,3,4,,15,2
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7523,automobile parking lots and garages,"merchants classified with this mcc provide temporary parking services for automobiles, usually on an hourly, daily, or monthly contract or fee basis.",parking garages,prohibited,,1,2,,15,2
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7524,express payment service merchants–parking lots and garages,,,,,4,2,,15,2
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7531,automotive body repair shops,merchants classified with this mcc perform automotive body repair work and may paint automobiles in conjunction with body repair work.,car body repair shops auto body shops,restricted/high risk,,3,3,,7,7
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7534,tire retreading and repair shops,"merchants classified with this mcc sell, install, repair, or retread old tires.","car tires – retreads
repairs – tire retreading,
 repair shops",restricted/high risk,,3,2,,7,7
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7535,automotive paint shops,"merchants classified with this mcc paint, refinish, and restore automobiles.",car paint shops,prohibited,,3,2,,7,7
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7538,automotive service shops,merchants classified with this mcc conduct automotive repairs and general or specific services.,"automotive glass repair/
 replacement
car service shops
lube stations – quick stop
muffler shops
oil changers – lube
 stations
repairs – automotive
 service shops
tune-up shops –
 automotive
wheel alignment,
balancing, repair service
 – automotive",restricted/high risk,,3,2,,7,7
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7542,car washes,"merchants classified with this mcc wash, wax, and polish automobiles or provide self-service facilities.","auto detailing
automotive cleaning,
 waxing
cleaning, polishing –
 automotive",,,4,2,,15,1
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",7549,towing services,merchants classified with this mcc provide vehicle towing services.,,restricted/high risk,restricted/high risk,5,2,,3,1
"appliances, electronics, furniture, flooring, & home furnishings",7622,electronic repair shops,"merchants classified with this mcc repair electronics (excluding appliances) such as radios, televisions, stereo equipment, and computers.","radio, television, stereo,
 electronics repair shops
repairs – radio,
television, stereo,
 electronics
services – television,
 radio, stereo, electronics
stereo repair shops
television repair shops",prohibited,,1,2,,15,2
"appliances, electronics, furniture, flooring, & home furnishings",7623,air conditioning and refrigeration repair shops,merchants classified with this mcc service and repair household and commercial air conditioning and refrigeration systems.,"refrigeration repair shops
repairs – air conditioning,
 refrigeration repair
 shops",restricted/high risk,,3,1,"additional questionnaires/forms, licenses, and/or certification documentation required, if not prohibited (check prohibited business model list)",3,2
"appliances, electronics, furniture, flooring, & home furnishings",7629,"appliance repair shops, electrical and small","merchants classified with this mcc service and repair household and commercial electrical components, small appliances (such as microwaves, toaster ovens, and toasters), and electrical office machines, excluding typewriters.",repairs – office machines,restricted/high risk,restricted/high risk,1,2,,15,2
business & professional services,7631,"clock, jewelry and watch repair shops","merchants classified with this mcc clean and repair all types of watches, clocks, and fine jewelry.",,prohibited,,1,2,,15,2
"appliances, electronics, furniture, flooring, & home furnishings",7641,"furniture–reupholstery, repair and refinishing","merchants classified with this mcc reupholster, repair, refinish, and restore furniture.","furniture repair,
 reupholstery
refinishing – furniture
 repair, reupholstery
repairs – reupholstery,
 furniture repair,
 furniture refinishing
services – reupholstery,
 furniture repair,
 furniture refinishing",prohibited,restricted/high risk,1,5,,60,30
business & professional services,7692,welding repair,merchants classified with this mcc perform welding services and repair.,services – welding repair,prohibited,restricted/high risk,3,2,,15,2
business & professional services,7699,miscellaneous repair shops and related services,merchants classified with this mcc provide service and repair work and are not classified with a more specific mcc.,"chimney cleaning service
furnace cleaning service
machine shops
services – chimney
 cleaning
services – furnace
 cleaning
services – large appliance
 repair
services – bicycle repair
services – orthopedic
 device repair",,,3,3,,15,2
government & gambling services,7800,government owned lottery,merchants classified with this mcc are governmentowned lotteries in the us region that are registered with visa to sell lottery tickets.,,prohibited,prohibited,5,4,,1,1
government & gambling services,7801,government-licensed casinos (online or internet gambling),merchants classified with this mcc are licensed by a us government entity (and/or sanctioned and regulated by applicable legislation) and registered with visa to sell virtual gambling chips or offer online gambling.,,prohibited,prohibited,5,4,,1,1
government & gambling services,7802,government-licensed horse/dog racing,merchants classified with this mcc are licensed by a us government entity (and/or sanctioned and regulated by applicable legislation) and registered with visa to sell on- or off-track wagers at horse- or dog-racing facilities.,,prohibited,prohibited,5,4,,1,1
entertainment services,7829,motion picture and video tape production and distribution,merchants classified with this mcc are business-tobusiness or wholesale producers and distributors of educational and industrial films and videos for exhibition and sale.,"distributor – motion
 picture, video tape
 production, distribution
educational, training film
 production
film production,
 distribution
motion picture, video tape
 production, distribution
tv commercial production
training, educational film
 production
video tape, motion picture
 production, distribution",prohibited,restricted/high risk,3,2,,10,2
entertainment services,7832,motion picture theaters,"merchants classified with this mcc operate movie theaters and sell tickets and refreshments, or sell movie tickets online.","cinemas
entertainment – movie
 theaters
films – movie theaters
movie theaters",prohibited,restricted/high risk,1,1,,2,1
entertainment services,7841,dvd/video tape rental stores,merchants classified with this mcc rent dvds/video tapes for personal use and may sell a limited selection of used videos/dvds and refreshments.,"rentals – dvd/video
 tape stores",prohibited,restricted/high risk,3,2,,15,2
entertainment services,7911,"dance halls, schools and studios","merchants classified with this mcc operate dance studios, schools, and public dance halls or ballrooms.","ballet schools
ballroom dance instruction
dance schools
schools – ballroom dance
 instruction
studios – dance",prohibited,,1,1,,15,2
entertainment services,7922,"theatrical producers (except motion pictures), ticket agencies","merchants classified with this mcc operate live theatrical productions (such as road companies and summer theater groups) and services associated with theatrical productions and concerts (such as casting agencies, booking agencies, scenery, lighting, and other equipment services, and theatrical ticket agencies).","agencies – ticket,
theatrical producers
performing arts
 companies – theatrical
producers – theatrical
production agencies –
 theatrical
ticket agencies ",restricted/high risk,restricted/high risk,3,5,,90,2
entertainment services,7929,"bands, orchestras and miscellaneous entertainers– not elsewhere classified","merchants classified with this mcc provide entertainment other than theatrical productions (such as musicians, bands, orchestras, and other types of entertainers such as comedians and magicians).","djs
dance bands
magicians
music bands
musicians",prohibited,,3,4,,90,2
entertainment services,7932,pool and billiard establishments,merchants classified with this mcc operate establishments that rent the use of pool or billiard tables and other games for entertainment.,"billiard parlors
snooker parlors",prohibited,restricted/high risk,3,2,,15,2
entertainment services,7933,bowling alleys,merchants classified with this mcc operate bowling alleys for entertainment.,,prohibited,restricted/high risk,3,1,,5,1
entertainment services,7941,"athletic fields, commercial sports, professional sports clubs, sports promoters","merchants classified with this mcc operate and promote semiprofessional and professional athletic clubs (such as baseball, basketball, football, hockey, soccer), promote amateur and professional athletic events, manage individual athletes, and manage sports areas and stadiums.","arenas – sports
athletic fields
automotive race tracks
 – non-participatory
clubs – professional sports
professional sports clubs
promoters – sporting
 events
race tracks – entrance
 fee, non-betting
 transactions
sports promoters
stadiums",restricted/high risk,restricted/high risk,3,4,,15,1
entertainment services,7991,tourist attractions and exhibits,"merchants classified with this mcc operate a variety of tourist attractions and exhibits for entertainment, such as botanical gardens, craft shows, museums, and wineries.","arboretums
art museums
botanical gardens
exhibits
expositions
gardens – botanical
museums
wineries",prohibited,restricted/high risk,3,2,,8,2
entertainment services,7992,"golf courses, public",merchants classified with this mcc operate public golf courses.,,prohibited,restricted/high risk,3,1,,8,2
entertainment services,7993,video amusement game supplies,"merchants classified with this mcc sell coin-operated amusement machines such as video game machines, jukeboxes, pinball machines, slot machines, mechanical games, instant photograph booths, and similar types of amusement equipment and game supplies. merchants that operate video and game arcades for public use must be classified with mcc 7994 – video game arcades/establishments.",,prohibited,,3,1,,5,1
entertainment services,7994,video game arcades and establishments,"merchants classified with this mcc operate arcades, amusement machines (such as video game machines, jukeboxes, pinball machines, mechanical games, instant photograph booths, and similar types of amusement equipment).","social casinos not offering
 any prizes of monetary
 value",restricted/high risk,restricted/high risk,3,1,,2,1
government & gambling services,7995,"gambling transactions betting (sportsbook, fantasy, social gaming; when regulated and not covered by other mccs) (d)","merchants classified with this mcc operate games of chance to win prizes of monetary value or betting establishments. merchants that are unable to distinguish a betting transaction from other transactions, must identify all transactions with mcc 7995","betting – casino gaming
 chips
betting – lottery tickets
betting – off-track
betting – wagers
bingo parlors
raffle tickets
unlicensed foreign
exchange trading or binary
 options
sweepstakes",prohibited,prohibited,6,6,,1,1
entertainment services,7996,"amusement parks, carnivals, circuses, carnivals, fortune tellers","merchants classified with this mcc operate circuses, carnivals, and amusement and theme parks that offer mechanical rides, snacks and food stands, games, animal exhibits, and entertainment, as well as fortunetelling, astrology, mystic, and tarot card-reading services.","county fairs
fairs
mystics
tarot readings
state fairs",prohibited,restricted/high risk,3,1,,1,1
"charitable & social clubs, membership organizations",7997,"clubs–country clubs, membership (athletic, recreation, sports), private golf courses","merchants classified with this mcc operate sports and recreation facilities that require membership such as exercise, athletic and health clubs, country clubs, private golf courses, boating and yacht clubs, swimming clubs, tennis clubs, bowling leagues, riding clubs, shooting and gun clubs, and racquetball clubs, and may also provide spa services","athletic clubs – physical
 fitness
boating clubs
clubs – boating
clubs – gun
clubs – racquetball
clubs – sailing
clubs – sports
clubs – tennis
clubs – yacht
country clubs
exercise clubs
fitness clubs
golf courses – private
gun clubs
health clubs
private golf courses
racquetball clubs
sailing clubs
sports clubs
tennis clubs
yacht clubs",restricted/high risk,restricted/high risk,3,3,,15,2
entertainment services,7998,"aquariums, dolphinariums, zoos and seaquariums",merchants classified with this mcc operate zoos or sea life parks for entertainment and education for the general public.,sea life parks,prohibited,restricted/high risk,3,1,,3,1
