Industry,MCC,MCC Title,MCC Description,Included in MCC,Connect/ISV Sub-Merchants,Pay/ISO/Direct Merchants,AML Risk Rating,Loss Risk Rating,Add'l Requirements,CNP Delayed Delivery,CP/ACH Delayed Delivery
"mobile home, vehicle, boat, aircraft dealers, rentals, and shops",5271,mobile home dealers,"merchants classified with this mcc sell new and used mobile homes and related parts, accessories, and equipment.","dealers – mobile home,
 parts, equipment
equipment – mobile
 home parts",prohibited,,3,4,,10,2
miscellaneous stores & services,5299,warehouse club gas,,,,,3,1,,15,2
miscellaneous stores & services,5300,wholesale clubs,merchants classified with this mcc sell a full range of goods (often in bulk) and services in warehouse-style stores. these merchants may or may not have membership requirements.,"club stores – wholesale
 clubs
discount goods –
 wholesale clubs
warehouse retail –
 wholesale clubs",,,3,1,,15,2
miscellaneous stores & services,5309,duty free stores,"merchants classified with this mcc sell a variety of gift and import items that are typically exempt from customs fees, such as liquor, perfume, and jewelry.",,restricted/high risk,restricted/high risk,4,2,,15,2
miscellaneous stores & services,5310,discount stores,merchants classified with this mcc sell a general line of merchandise and offer it at a discounted rate.,,,,3,3,,5,1
miscellaneous stores & services,5311,department stores,"merchants classified with this mcc sell a general line of apparel, home furnishings, furniture, electronics, cosmetics, housewares, and major household appliances. these stores have departments that usually have their own separate check-out counters.",,,,3,1,,5,1
miscellaneous stores & services,5331,variety stores,"merchants classified with this mcc sell a limited selection of various products in a lower price range. generally, these merchants sell the same type of merchandise and operate in the same manner as a discount store, but on a much smaller scale.",,,,3,1,,5,1
miscellaneous stores & services,5399,miscellaneous general merchandise stores,"merchants classified with this mcc sell a general line of merchandise. generally, these merchants sell the same type of merchandise and operate in the same manner as a department store, but on a much smaller scale.",,,,3,3,,5,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5411,"grocery stores, supermarkets","merchants classified with this mcc sell a complete, full line of food merchandise for home consumption. most of the food merchandise is perishable, and perishables* must represent at least 45% of merchant’s total monthly sales volume, measured in local currency. in addition, they also sell canned, frozen, prepackaged, and dry foods, a limited selection of housewares, cleaning and polishing products, personal hygiene products, cosmetics, greeting cards, books, magazines, household items, and dry goods. these merchants may also operate specialized departments such as an in-store deli counter, meat counter, pharmacy, or floral department. * perishable goods include the following: • bakery – in store (service) • bread and baked goods – fresh • dairy – butter, margarine, cottage cheese, sour cream, toppings, dough products, eggs, juices/drinks (refrigerated), milk, pudding, desserts, snacks, spreads, dips, and yogurt • deli – in store (service) • deli – refrigerated (self service) • frozen foods – baked goods, breakfast foods, desserts, fruits, toppings, frozen novelties, ice, ice cream, juices, drinks, meal starters, pizza, snacks, hors d’oeuvres, prepared foods, unprepared meat, poultry, seafood, vegetables • meat, fish, poultry – fresh • packaged meat – deli • fresh produce • floral",,restricted/high risk,restricted/high risk,3,1,,5,1
"grocery, alcohol & tobacco, drug stores, restaurants, caterers, drinking establishments",5422,freezer and locker meat provisioners,"merchants classified with this mcc sell fresh, frozen, or cured meats, fish, shellfish, and other seafoods. this mcc also includes bulk retail sellers of meat for freezer storage and home freezer plans.","butcher shops
fish, seafood markets
frozen meats, seafood
meat markets, meat
 lockers
seafood markets",restricted/high risk,restricted/high risk,3,1,,7,1
